timestamp,example,version,iteration,operation,scenario,direction,pipeline,rows,durationMs,outputRows,checksum,url
"2026-06-25T18:49:22.395Z","v8/sorting-fns","v8",2,"sorting","alphanumericCaseSensitive","desc","operation",300000,1507.7000000029802,300000,"0:1388:item-zen-298642;150000:859:Item-zen-299224;299999:291407:Item-CD-8612","http://127.0.0.1:41740"
"2026-06-25T18:49:24.379Z","v8/sorting-fns","v8",3,"sorting","alphanumericCaseSensitive","desc","operation",300000,1463.300000011921,300000,"0:1388:item-zen-298642;150000:859:Item-zen-299224;299999:291407:Item-CD-8612","http://127.0.0.1:41740"
"2026-06-25T18:49:24.452Z","v8/sorting-fns","v8",1,"sorting","text","asc","operation",30000,52.5,30000,"0:24217:aaliyah boyer;15000:22841:johanna skiles;29999:24419:zula stracke","http://127.0.0.1:41740"
"2026-06-25T18:49:24.527Z","v8/sorting-fns","v8",2,"sorting","text","asc","operation",30000,55.20000000298023,30000,"0:24217:aaliyah boyer;15000:22841:johanna skiles;29999:24419:zula stracke","http://127.0.0.1:41740"
"2026-06-25T18:49:24.600Z","v8/sorting-fns","v8",3,"sorting","text","asc","operation",30000,54.70000000298023,30000,"0:24217:aaliyah boyer;15000:22841:johanna skiles;29999:24419:zula stracke","http://127.0.0.1:41740"
"2026-06-25T18:49:25.785Z","v8/sorting-fns","v8",1,"sorting","text","asc","operation",300000,975.2999999970198,300000,"0:45315:aaliyah barrows;150000:289179:johnson berge;299999:52290:zula zulauf-osinski","http://127.0.0.1:41740"
"2026-06-25T18:49:27.165Z","v8/sorting-fns","v8",2,"sorting","text","asc","operation",300000,969.2999999970198,300000,"0:45315:aaliyah barrows;150000:289179:johnson berge;299999:52290:zula zulauf-osinski","http://127.0.0.1:41740"
"2026-06-25T18:49:28.337Z","v8/sorting-fns","v8",3,"sorting","text","asc","operation",300000,965.5,300000,"0:45315:aaliyah barrows;150000:289179:johnson berge;299999:52290:zula zulauf-osinski","http://127.0.0.1:41740"
"2026-06-25T18:49:28.411Z","v8/sorting-fns","v8",1,"sorting","text","desc","operation",30000,52.599999994039536,30000,"0:24419:zula stracke;15000:20189:johanna schowalter;29999:24217:aaliyah boyer","http://127.0.0.1:41740"
"2026-06-25T18:49:28.488Z","v8/sorting-fns","v8",2,"sorting","text","desc","operation",30000,56.1000000089407,30000,"0:24419:zula stracke;15000:20189:johanna schowalter;29999:24217:aaliyah boyer","http://127.0.0.1:41740"
"2026-06-25T18:49:28.568Z","v8/sorting-fns","v8",3,"sorting","text","desc","operation",30000,60.900000005960464,30000,"0:24419:zula stracke;15000:20189:johanna schowalter;29999:24217:aaliyah boyer","http://127.0.0.1:41740"
"2026-06-25T18:49:29.935Z","v8/sorting-fns","v8",1,"sorting","text","desc","operation",300000,989.3000000119209,300000,"0:52290:zula zulauf-osinski;150000:16175:johnson beier;299999:200065:aaliyah barrows","http://127.0.0.1:41740"
"2026-06-25T18:49:31.109Z","v8/sorting-fns","v8",2,"sorting","text","desc","operation",300000,965.4000000059605,300000,"0:52290:zula zulauf-osinski;150000:16175:johnson beier;299999:200065:aaliyah barrows","http://127.0.0.1:41740"
"2026-06-25T18:49:32.576Z","v8/sorting-fns","v8",3,"sorting","text","desc","operation",300000,969.7000000029802,300000,"0:52290:zula zulauf-osinski;150000:16175:johnson beier;299999:200065:aaliyah barrows","http://127.0.0.1:41740"
"2026-06-25T18:49:32.646Z","v8/sorting-fns","v8",1,"sorting","textCaseSensitive","asc","operation",30000,49.5,30000,"0:24217:Aaliyah Boyer;15000:14500:aaliyah Cronin;29999:7680:zula Murphy","http://127.0.0.1:41740"
"2026-06-25T18:49:32.717Z","v8/sorting-fns","v8",2,"sorting","textCaseSensitive","asc","operation",30000,47.599999994039536,30000,"0:24217:Aaliyah Boyer;15000:14500:aaliyah Cronin;29999:7680:zula Murphy","http://127.0.0.1:41740"
"2026-06-25T18:49:32.789Z","v8/sorting-fns","v8",3,"sorting","textCaseSensitive","asc","operation",30000,51.29999999701977,30000,"0:24217:Aaliyah Boyer;15000:14500:aaliyah Cronin;29999:7680:zula Murphy","http://127.0.0.1:41740"
"2026-06-25T18:49:33.902Z","v8/sorting-fns","v8",1,"sorting","textCaseSensitive","asc","operation",300000,895.5,300000,"0:45315:Aaliyah Barrows;150000:209364:aaliyah Barton;299999:52290:zula Zulauf-Osinski","http://127.0.0.1:41740"
"2026-06-25T18:49:35.195Z","v8/sorting-fns","v8",2,"sorting","textCaseSensitive","asc","operation",300000,897.2999999970198,300000,"0:45315:Aaliyah Barrows;150000:209364:aaliyah Barton;299999:52290:zula Zulauf-Osinski","http://127.0.0.1:41740"
"2026-06-25T18:49:36.296Z","v8/sorting-fns","v8",3,"sorting","textCaseSensitive","asc","operation",300000,892.0999999940395,300000,"0:45315:Aaliyah Barrows;150000:209364:aaliyah Barton;299999:52290:zula Zulauf-Osinski","http://127.0.0.1:41740"
"2026-06-25T18:49:36.364Z","v8/sorting-fns","v8",1,"sorting","textCaseSensitive","desc","operation",30000,47.599999994039536,30000,"0:7680:zula Murphy;15000:24419:Zula Stracke;29999:24217:Aaliyah Boyer","http://127.0.0.1:41740"
"2026-06-25T18:49:36.433Z","v8/sorting-fns","v8",2,"sorting","textCaseSensitive","desc","operation",30000,48.20000000298023,30000,"0:7680:zula Murphy;15000:24419:Zula Stracke;29999:24217:Aaliyah Boyer","http://127.0.0.1:41740"
"2026-06-25T18:49:36.539Z","v8/sorting-fns","v8",3,"sorting","textCaseSensitive","desc","operation",30000,61.79999999701977,30000,"0:7680:zula Murphy;15000:24419:Zula Stracke;29999:24217:Aaliyah Boyer","http://127.0.0.1:41740"
"2026-06-25T18:49:37.900Z","v8/sorting-fns","v8",1,"sorting","textCaseSensitive","desc","operation",300000,905.5999999940395,300000,"0:52290:zula Zulauf-Osinski;150000:200873:Zula Wilderman;299999:200065:Aaliyah Barrows","http://127.0.0.1:41740"
"2026-06-25T18:49:39.025Z","v8/sorting-fns","v8",2,"sorting","textCaseSensitive","desc","operation",300000,898.5,300000,"0:52290:zula Zulauf-Osinski;150000:200873:Zula Wilderman;299999:200065:Aaliyah Barrows","http://127.0.0.1:41740"
"2026-06-25T18:49:40.383Z","v8/sorting-fns","v8",3,"sorting","textCaseSensitive","desc","operation",300000,895.3999999910593,300000,"0:52290:zula Zulauf-Osinski;150000:200873:Zula Wilderman;299999:200065:Aaliyah Barrows","http://127.0.0.1:41740"
